Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
TEMP-001,WIOA On-the-Job Training (OJT) Program,Department of Labor,federal,IL,,wage_reimbursement,active,,"youth, dislocated_worker",,cash,"Typically 50-90% wage reimbursement for training period (up to 6 months or 1,000 hours)","for_profit, non_profit, public",,,No,Yes,No,Available through local workforce development areas,,Kane County WIOA OJT Policy,high,missing_source_url,Federal program with local administration through Workforce Development Boards. Must provide skills training leading to recognized credential or employment advancement.
TEMP-001,Disabled Access Deduction (Section 190),Internal Revenue Service,federal,,,tax_credit,active,,disabled,15000,cash,"Up to $15,000 annually in deductible expenses for barrier removal","for_profit, non_profit, public",Any size business,,No,Yes,No,Available nationwide for barrier removal expenses,https://illinoisattorneygeneral.gov/Page-Attachments/tax_incentives.pdf,Tax Incentives Document,medium,"not_direct_hiring_incentive, federal_only_no_state_interface",This is a tax deduction rather than a direct hiring incentive. Benefits individuals with disabilities indirectly by requiring employers to remove workplace barriers.
TEMP-001,Veterans' Preference in Federal Employment,Office of Personnel Management,federal,,,procurement_preference,active,,veteran,,non_quantifiable,Preference system - not applicable for monetary value calculation,public,,Federal agencies and contractors,No,Yes,No,Federal positions nationwide,,Federal veteran employment initiatives,medium,"missing_source_url, not_direct_hiring_incentive, federal_only_no_state_interface",This is a preference system rather than a direct financial incentive. Applies to federal hiring processes and may have limited applicability for typical employer incentive programs.
TEMP-001,Rehabilitation Services Administration (RSA) Supported Employment,Department of Education - Rehabilitation Services Administration,federal,,,wage_reimbursement,active,,disabled,,non_quantifiable,Varies by state; covers job coaching and support services,"for_profit, non_profit, public",,,No,Yes,No,Available through state VR agencies,https://rsa.ed.gov/about/programs/disability-innovation-fund-subminimum-wage-to-competitive-integrated-employment/grantees,RSA Disability Innovation Fund - Subminimum Wage to Competitive Integrated Employment Grantees,medium,,Federal program administered by states through state VR agencies. Must provide competitive integrated employment to be eligible.
TEMP-001,Employee Retention Credit (ERC),Internal Revenue Service,federal,,,tax_credit,expired,Ended 2021 for most employers,,26000,cash,"Up to $26,000 per employee for 2020-2021 combined","for_profit, non_profit, public",,,No,No,No,Available nationwide - no geographic restrictions,,Federal tax code,high,"missing_source_url, not_direct_hiring_incentive","COVID-19 response program for employee retention, not hiring incentive. Targeted all employees rather than specific populations. - Kept for potential renewal tracking"
TEMP-001,Federal Contract Set-Asides for Veteran-Owned Small Businesses,"Small Business Administration, Department of Veterans Affairs",federal,,,procurement_preference,active,,veteran,,non_quantifiable,Contract-dependent value - provides preferential access to federal contracts rather than direct cash benefit,for_profit,Must qualify as small business under SBA size standards,,No,No,No,Federal contracting nationwide - business must be veteran-owned,,Federal contracting regulations,medium,"missing_source_url, not_direct_hiring_incentive, federal_only_no_state_interface",This is a procurement preference program that provides contracting opportunities rather than direct hiring incentives. Value depends on specific contract awards received.
TEMP-002,Employee Retention Credit (ERC),Internal Revenue Service,federal,IL,,tax_credit,expired,,,,cash,,"for_profit, non_profit",,,No,No,No,,,,low,"missing_source_url, value_estimate_uncertain",Listed as expired program with minimal details provided - Kept for potential renewal tracking
TEMP-003,WIOA On-the-Job Training,U.S. Department of Labor,federal,IL,,wage_reimbursement,active,,"dislocated_worker, long_term_unemployed",,cash,50-90% wage reimbursement for training periods,"for_profit, non_profit, public",,,Yes,Yes,No,,,,medium,"missing_source_url, value_estimate_uncertain","Second most significant program by value, variable reimbursement rate based on training period"
TEMP-001,Illinois Veteran's Employment Tax Credit,"Illinois Department of Veterans Affairs, Illinois Department of Revenue",state,IL,,tax_credit,active,,veteran,5000,cash,"20% of wages paid during first year, maximum $5,000 annually","for_profit, non_profit, public",,,No,Yes,No,Must hire qualified unemployed OEF/OIF veterans who meet specific service criteria,https://veterans.illinois.gov/services-benefits/entrepreneurship/tax-credit-programs.html,Illinois Veterans Services - Tax Credit Programs,high,,Specifically targets unemployed Operation Enduring Freedom/Operation Iraqi Freedom veterans with specific service criteria requirements
TEMP-001,Illinois Enterprise Zone Program - Employment Credits,Illinois Department of Commerce and Economic Opportunity,state,IL,,tax_credit,active,,"low_income, long_term_unemployed",,cash,Variable based on investment and employment increases,for_profit,,,No,Yes,No,Must be within designated Illinois Enterprise Zones,https://www.chicago.gov/content/dam/city/depts/dcd/general/housing1/EZincentivelist.pdf,Chicago Enterprise Zone Incentive List,medium,value_estimate_uncertain,Target populations described as 'disadvantaged individuals in designated enterprise zones' with specific populations varying by zone but typically including low-income residents and unemployed individuals.
TEMP-001,Workforce Innovation and Opportunity Act (WIOA) On-the-Job Training,"Illinois Department of Commerce and Economic Opportunity, Local Workforce Development Areas",federal,IL,,wage_reimbursement,active,,"dislocated_worker, low_income, youth",,cash,"Up to 50% of wages for training period, typically 3-6 months","for_profit, non_profit, public",,,Yes,Yes,No,Illinois statewide through local workforce areas,https://dceo.illinois.gov/workforcedevelopment/programsandresources/wioa-works-illinois.html,WIOA Works Illinois,high,,Must provide structured training program and commit to retaining employee after training. Administered through local workforce development areas.
