Program ID,Program Name,Agency,Jurisdiction Level,State,Locality,Category,Status,Status Details,Target Populations,Max Value,Value Type,Value Notes,Entity Types,Size Limits,Industry Restrictions,Candidate Address Matters,Work Site Address Matters,Employer HQ Matters,Custom Logic,Source URL,Source Citation,Confidence Level,Potential Issues,Notes
IL-001,Work Opportunity Tax Credit (WOTC) - Veterans,Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,ACTIVE,Program status indicates expired or discontinued,tanf_snap,"$9,600 per employee",,,,,,No,No,No,,https://ides.illinois.gov/employer-resources/hiring-solutions/veterans.html,,high,, | WOTC expired 12/31/2025 - Pending Congressional reauthorization (historically reauthorized retroactively) | Historically reauthorized retroactively since 1996. Keep as ACTIVE with expiration warning.
IL-002,Illinois Veterans Tax Credit,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,veterans,"$5,000 annually per employee",,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,high,,"Illinois state income tax credit for hiring veterans of Operation Desert Storm, Operation Enduring Freedom, or Operation Iraqi Freedom"
IL-003,Illinois Hires Heroes Consortium,Commercial Club of Chicago,local,Illinois,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,veterans,Varies,,,,,,No,No,No,,https://commercialclubchicago.org/veterans-employment-resources/,,low,,"Employer consortium program that may provide networking, resources, or incentives for hiring veterans"
IL-004,Cook County Veterans Employment and Job Training Program,Cook County,local,Illinois,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,veterans,Varies,,,,,,No,No,No,,https://www.cookcountyil.gov/service/employment-and-job-training,,low,,Cook County program that may provide employer incentives or services for veteran hiring
IL-005,Illinois Department of Central Management Services Veterans Hiring Initiative,Illinois Department of Central Management Services,state,Illinois,,other,NON-INCENTIVE,Flagged as non-incentive by verification phase,veterans,Varies,,,,,,No,No,No,,https://veterans.illinois.gov/services-benefits/employment-resources.html,,medium,,State program with dedicated personnel for veteran employment that may include employer incentives or preferences
IL-006,IDES Veteran Hiring Solutions Program,Illinois Department of Employment Security (IDES),state,Illinois,,unknown,NON-INCENTIVE,Program does not provide direct benefit to employers,veterans,Varies,,,,,,No,No,No,,https://ides.illinois.gov/employer-resources/hiring-solutions/veterans.html,,medium,,"IDES program providing various hiring solutions for employers seeking to hire veterans, may include additional incentives beyond WOTC"
IL-007,Work Opportunity Tax Credit (WOTC) - Vocational Rehabilitation Referral,Illinois Department of Employment Security (IDES),federal,Illinois,,tax_credit,ACTIVE,Program status indicates expired or discontinued,disabilities,"$2,400 per employee",,,,,,No,No,No,,https://ides.illinois.gov/jobs-workforce/programs/tax-credit.html,,high,, | WOTC expired 12/31/2025 - Pending Congressional reauthorization (historically reauthorized retroactively) | Historically reauthorized retroactively since 1996. Keep as ACTIVE with expiration warning.
IL-008,Illinois Economic Development for a Growing Economy (EDGE) Tax Credit,Illinois Department of Commerce and Economic Opportunity,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,http://www.employmentincentives.com/state_incentives/Illinois/il_tax_incentives.htm,,low,,"State income tax credit program that ran 2012-2016, some jobs created could be held by workers with disabilities"
IL-009,Illinois State Income Tax Credit for Hiring Individuals with Disabilities,Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://worknetdupage.org/employers/employer-hiring-credits/,,medium,,State income tax credit available to employers who hire and retain individuals with disabilities
IL-010,Developmental Disabilities and Severe Mental Illness Employment Tax Credit (SB2744),Illinois Department of Revenue,state,Illinois,,tax_credit,ACTIVE,Active tax_credit program with direct employer benefit,disabilities,Varies,,,,,,No,No,No,,https://www.billtrack50.com/billdetail/1928425,,low,,Proposed tax credit for employers who hire individuals with developmental disabilities or severe mental illness
